I, [2016-12-21T22:43:52.485034 #22741]  INFO -- Kitchen: -----> Starting Kitchen (v1.13.2)
E, [2016-12-21T22:43:52.487595 #22741] ERROR -- Kitchen: ------Exception-------
E, [2016-12-21T22:43:52.487651 #22741] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-12-21T22:43:52.487679 #22741] ERROR -- Kitchen: Message: Kitchen YAML file /Users/bmutziu/work/chef-repo/.kitchen.yml does not exist.
E, [2016-12-21T22:43:52.487733 #22741] ERROR -- Kitchen: ----------------------
E, [2016-12-21T22:43:52.487761 #22741] ERROR -- Kitchen: ------Backtrace-------
E, [2016-12-21T22:43:52.487788 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-12-21T22:43:52.487816 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:154:in `data'
E, [2016-12-21T22:43:52.487859 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:133:in `suites'
E, [2016-12-21T22:43:52.487888 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-12-21T22:43:52.487930 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-12-21T22:43:52.487960 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:119:in `instances'
E, [2016-12-21T22:43:52.487988 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-12-21T22:43:52.488033 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-12-21T22:43:52.488101 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/test.rb:43:in `block in call'
E, [2016-12-21T22:43:52.488129 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2016-12-21T22:43:52.488156 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/test.rb:41:in `call'
E, [2016-12-21T22:43:52.488184 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:56:in `perform'
E, [2016-12-21T22:43:52.488265 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:233:in `test'
E, [2016-12-21T22:43:52.488297 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-12-21T22:43:52.488342 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-12-21T22:43:52.488372 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2016-12-21T22:43:52.488400 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-12-21T22:43:52.488427 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-12-21T22:43:52.488455 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `block in <top (required)>'
E, [2016-12-21T22:43:52.488520 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-12-21T22:43:52.488551 #22741] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `<top (required)>'
E, [2016-12-21T22:43:52.488597 #22741] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `load'
E, [2016-12-21T22:43:52.488629 #22741] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `<main>'
E, [2016-12-21T22:43:52.488674 #22741] ERROR -- Kitchen: ----End Backtrace-----
